timestamp,S,I,R
0.0,1.933995e7,10.0,0.0
1.0,1.9339944579706382e7,16.713046045341798,2.537639318867702
2.0,1.9339936861340363e7,21.669195633280285,6.179866817300196
3.0,1.9339927365614183e7,25.705495086865177,10.689224152327693
4.0,1.9339916352660216e7,29.318438164960384,15.946551323673633
5.0,1.9339903927011132e7,32.80749455237938,21.903795908159886
6.0,1.933989009828658e7,36.358716631471225,28.556697264241237
7.0,1.9339874815714665e7,40.093005695608454,35.929184309351726
8.0,1.9339857988341454e7,44.095114822214576,44.06426013953199
9.0,1.9339839495550707e7,48.429698927411465,53.01921070562656
10.0,1.933981919330702e7,53.15167674551472,62.86277473985206
11.0,1.9339796916258033e7,58.31127179198977,73.67415484258547
12.0,1.9339772479673058e7,63.95893875209423,85.54220300314589
13.0,1.9339745678005215e7,70.14584664275007,98.5659960842726
14.0,1.9339716284545526e7,76.92659221962074,112.85508112723402
15.0,1.9339684050418735e7,84.36053706482424,128.52995221491557
16.0,1.933964870184226e7,92.51129763605638,145.7233092709492
17.0,1.9339609938223973e7,101.44854030744492,164.58100445648637
18.0,1.933956742965003e7,111.24853456919766,185.26324193138635
19.0,1.933952081499985e7,121.99513612819848,207.94549520761205
20.0,1.9339469697502658e7,133.77967916237836,232.82064141658492
21.0,1.933941364334722e7,146.70215351724164,260.0996531232495
22.0,1.9339352174356014e7,160.8728006042295,290.015119849072
23.0,1.933928476710373e7,176.4122580526219,322.82167427319064
24.0,1.9339210849422544e7,193.4526417709354,358.79772566574286
25.0,1.9339129791332696e7,212.13915386217082,398.2498616665646
26.0,1.9339040905357443e7,232.63014688737522,441.5127010525295
27.0,1.9338943436275013e7,255.0997521562712,488.9538208377571
28.0,1.933883655091352e7,279.73998212892184,540.9787619298112
29.0,1.933871934006677e7,306.76042916012454,598.0300751916773
30.0,1.9338590810175277e7,336.3902085660746,660.5914554408073
31.0,1.933844986512204e7,368.8818818303845,729.1965577091738
32.0,1.9338295310193986e7,404.51082797000106,804.4270866178781
33.0,1.9338125834776305e7,443.57925202326714,886.9211374358572
34.0,1.9337939992936317e7,486.4204100861441,977.3826633737157
35.0,1.933773619548654e7,533.4005366556726,1076.585415720035
36.0,1.9337512711321775e7,584.918688850498,1185.3722807131917
37.0,1.933726765128207e7,641.4102140857512,1304.663301881975
38.0,1.933699892939738e7,703.3559366671733,1435.4744026951398
39.0,1.9336704252427764e7,771.2843793032242,1578.9224286236733
40.0,1.9336381121256243e7,845.7712894558442,1736.2244757952665
