timestamp,S(t),I(t),R(t)
0.0,990.0,10.0,0.0
0.0005656568557826305,989.997199808495,10.001385951371075,0.0014142401338982807
0.006222225413608936,989.9691769761303,10.015255597754882,0.015567426114815186
0.06278791099187198,989.6868470614252,10.15496986954471,0.1581830690301042
0.4044041746579178,987.8980568369944,11.03922714131362,1.0627160216919247
1.1716707206133883,983.3091728230193,13.300150793572842,3.3906763834079143
2.3193985544539766,974.7050055074421,17.50995641113685,7.785038081421027
3.7902010609469463,959.8263689906823,24.69736157515849,15.476269434159224
5.688002988241076,932.1563508253521,37.741464641524,30.102184533124017
8.045031472810619,880.152649097886,61.04259814385607,58.804752758258076
10.952685511821805,784.0032611609199,99.35091388225932,116.64582495682086
14.36883303195685,636.2213354658812,142.6999982037834,221.0786663303354
18.205603066519323,473.41147443856113,157.72282304177622,368.8657025196627
22.312475477563503,350.3423258297857,130.258715891749,519.3989582784654
27.5677352097887,266.8601246962861,77.66364691232435,655.4762283913897
32.191866923650174,232.7065101146475,43.34385172813359,723.949638157219
39.282042629160195,210.99497199067721,16.059223308881727,772.9458047004412
40.0,209.84281057038288,14.473597517421155,775.6835919121961
